citation_id,citation_label,date_year,protocol_ids,study_name,study_acronym,study_type,disease_phenotype,primary_research_focus,funding_source,award_num,foa
235,LinC2016a,2016,,,,Electronic Health Records,,,,,
236,KwakoL2016a,2016,,,,"Models, Psychological","Behavior, Addictive|Executive Function|Substance-Related Disorders",,Intramural NIH HHS,Z99 AA999999,
237,KuriyamaS2016a,2016,,Tohoku Medical Megabank Project,TMM,Disaster Medicine|Prospective Studies,Earthquake|Tsunamis|Genomics,"The Great East Japan Earthquake (GEJE) and resulting tsunami of March 11, 2011 gave rise to devastating damageon the Pacific coast of the Tohoku region. The Tohoku Medical Megabank Project (TMM), which is being conductedby Tohoku University Tohoku Medical Megabank Organization (ToMMo) and Iwate Medical University IwateTohoku Medical Megabank Organization (IMM), has been launched to realize creative reconstruction and to solvemedical problems in the aftermath of this disaster.","Reconstruction Agency from the Ministry of Education Culture Sports Science and Technology (MEXT), and from the Japan Agency for Medical Research and Development (AMED)","Japan, not NIH Awards","NA,NA"
238,KrebsN2016a,2016,10101|10501|10601|11001|11101|11301|30802|31001|60701|70301|91702|161301|181301,Pennsylvania Adult SmokingStudy,PASS,Surveys and Questionnaires,"Behavior, Addictive|Smoking","The role of inhalation behaviors as predictors of nicotine uptakewas examined in the Pennsylvania Adult SmokingStudy (2012–2014), a study of 332 adults whose cigarette smoking was measured in a naturalistic environment(e.g., at home) with portable handheld topography devices.","NIDA NIH HHS,NCATS NIH HHS,NCATS NIH HHS","R01 DA026815,UL1 TR000127,UL1 TR002014","PA-10-067,RFA-RM-10-001,PAR-15-304"
239,KingstonB2016a,2016,,,,Evidence-Based Practice,Mental Disorders,,,,
240,KimH2016a,2016,,,,Surveys and Questionnaires,Exercise | Life Style,,,,
241,KesslerR2016a,2016,,,,,Binge-Eating Disorder|Cognition|Impulsive Behavior|Reward,,,,
242,KepperM2016a,2016,211302,Mechanisms for the Metabolic Syndrome in Pre-pubertal Youth study,MET,Cross-Sectional Studies,Insulin Resistance|Metabolic Diseases|Obesity,It is unclear whether physiologic and metabolic biomarkers are associated with chronic stressors evidenced during early childhood.,"NIDDK NIH HHS,NICHD NIH HHS,NIMHD NIH HHS","P30 DK072476,R01 HD049046,U54 MD008176","RFA-DK-14-002/RFA-DK-04-016/RFA-DK-09-006/PA-18-591,RFA-HD-03-033,RFA-MD-12-007"
243,JerniganT2016a,2016,,,,Cohort Studies|Cross-Sectional Studies|Genetics|Pediatrics,Cognition,,"NIDA NIH HHS,NICHD NIH HHS,NIMH NIH HHS,NICHD NIH HHS,NICHD NIH HHS,NIDA NIH HHS,NIDA NIH HHS","R01 DA038958,P30 HD004147,R01 MH083320,U54 HD090255,R01 HD061414,RC2 DA029475,RC2DA029475","PA-13-302,RFA-HD-09-012/RFA-HD-04-024,PA-13-302/PA-11-260/PA-07-070,RFA-HD-16-013/PA-18-591,PA-10-067,RFA-OD-09-004,RFA-OD-09-004"
244,HenriksenL2016a,2016,741001,Standardized Tobacco Assessment for Retail Settings (STARS): dissemination and implementation research.,,Reproducibility of Results|Research|Surveys and Questionnaires,Cooperative Behavior|Smoking,"The Standardized Tobacco Assessment forRetail Settings (STARS) was designed to characterise theavailability, placement, promotion and price of tobaccoproducts, with items chosen for relevance to regulatingthe retail tobacco environment. This study describes theprocess to develop the STARS instrument and protocolemployed by a collaboration of US government agencies,US state tobacco control programmes (TCPs), advocacyorganisations, public health attorneys and researchersfrom the National Cancer Institute’s State andCommunity Tobacco Control (SCTC) Research Initiative.","NCI NIH HHS,NCI NIH HHS,NCI NIH HHS","U01 CA154241,U01 CA154248,U01 CA154281","RFA-CA-10-008,RFA-CA-10-008,RFA-CA-10-008"
245,HallM2016a,2016,,,,Genetic Association Studies|Genome-Wide Association Study|Precision Medicine,,,NHGRI NIH HHS,F31 HG008588,PA-14-147
246,GrondinC2016a,2016,,,,,,,"NIEHS NIH HHS,NIGMS NIH HHS,NIEHS NIH HHS,NIGMS NIH HHS,NIEHS NIH HHS","P30 ES025128,P20 GM104318,R01 ES019604,P20 GM103423,R01 ES014065","RFA-ES-13-012/RFA-ES-18-003,PAR-11-286/PA-18-591/PAR-16-241,PA-10-067,PAR-12-205/PAR-18-262/PAR-08-150,PA-10-067/PA-16-160/PAR-03-106"
247,GietzeltM2016a,2016,,,,Electronic Health Records | Systems Analysis,,,,,
248,FarberG2017a,2017,,,,Population Surveillance|Registries,,,Intramural NIH HHS,Z99 MH999999,
249,DugasM2016a,2016,,,,Biomedical Research|Clinical Trials as Topic|Electronic Health Records,Breast Neoplasms|Colorectal Neoplasms|Language|Leukemia|Lung Neoplasms,,,,
250,deSouzaR2016a,2016,,,,Cohort Studies|Cross-Sectional Studies|Reproducibility of Results|Surveys and Questionnaires,Feeding Behavior,,,,
251,CollisonK2016a,2016,,,,,,,,,
252,BushW2016a,2016,,,,Electronic Health Records|Genetic Association Studies|Genome-Wide Association Study,Genetic Variation,,,,
253,BovinM2016a,2016,122002,"Changes in negative urgency, positive urgency, and sensation seeking across adolescence.",,Reproducibility of Results,"Stress Disorders, Post-Traumatic|Veterans Health","This study examined the psychometric properties of the posttraumatic stress disorder (PTSD) Checklistfor Diagnostic and Statistical Manual of Mental Disorders-Fifth Edition (PCL-5; Weathers, Litz, et al.,2013b) in 2 independent samples of veterans receiving care at a Veterans Affairs Medical Center (N _x0002_468).",,,
254,BaumeisterS2016a,2016,,,,Health Surveys|Reproducibility of Results|Self Report|Surveys and Questionnaires,Motor Activity,,"Robert Koch Institute, European Commission/Eurostat","NA, NA","NA,NA"
255,BarchD2016a,2016,,,,Research Design,developmental cognitive neuroscience,,"NIMH NIH HHS,NIMH NIH HHS,NIMH NIH HHS,NIMH NIH HHS,NIMH NIH HHS,NIMH NIH HHS,NICHD NIH HHS,NIMH NIH HHS,NIMH NIH HHS,NIMH NIH HHS,NHGRI NIH HHS,NIMH NIH HHS","K24 MH094614,R01 MH090786,R01 MH098454,R01 MH101478,R01 MH040859,R01 MH066031,U54 HD087011,R01 MH074849,U54 MH091657,R01 MH101495,U41 HG007050,R01 MH084840","PA-11-195,PA-13-302/PA-07-070/PA-16-287/PA-17-328/PA-15-128,PA-13-302/PA-14-077/PA-11-260,RFA-MH-14-050/PA-14-077,PA-07-070,PA-07-070,PA-16-288/PA-18-591/RFA-HD-15-033,PA-10-067,RFA-MH-10-020,RFA-MH-13-080,PAR-11-095/PAR-14-191/PA-18-591,PAR-17-256/PA-07-070/RFA-MH-08-090/PAR-12-278"
256,ArisI2016a,2016,20203|20303|20602|21301,Growing Up in Singapore Towards Healthy Outcomes,GUSTO,Cohort Studies|Prospective Studies,Appetite|Feeding Behavior|Pediatric Obesity,"Polymorphic variants within human melanocortin-3receptor gene (MC3R) gene have been associated with obesity. However,its influence on infancy and early childhood adiposity has not been reportedbefore. We assessed associations between genotype at polymorphicsites within MC3R with early childhood adiposity and interactionwith early childhood appetitive traits.","Medical Research Council,Medical Research Council,Medical Research Council,Medical Research Council","MC_U147574222,MC_U147574226,MC_UP_A620_1017,MC_UU_12011/4","NA,NA,NA,NA"
257,AndersonA2016a,2016,50601|50801|120503,Inflammatory Bowel Disease (IBD) Research Registry,IBD,Biomedical Research|Cohort Studies|Electronic Health Records|Longitudinal Studies|Prospective Studies|Registries|Surveys and Questionnaires,"Colitis, Ulcerative|Crohn Disease|Disease Progression|Inflammatory Bowel Diseases","Inflammatory bowel disease (IBD) is aheterogeneous collection of chronic inflammatory disordersof the digestive tract. Clinical, genetic, and pathologicalheterogeneity makes it increasingly difficult to translateefficacy studies into real-world practice. Our objective wasto develop a comprehensive natural history registry derivedfrom multi-year observational data to facilitate effectivenessand clinical phenotypic research in IBD.","NIDDK NIH HHS,NCATS NIH HHS","T32 DK063922,TL1 TR000145","PA-06-468/PA-00-103/PA-16-152/PA-11-184,RFA-RM-09-019"
258,ZulligK2017a,2017,211001,Preliminary Development of the Student Perceptions of School Safety Officers Scale.,,Pilot Projects|Surveys and Questionnaires,Safety|Well-being,"Therefore, the purpose of this study was to explore the reliability and validity of a School Safety Officer scale among a diverse sample of public school adolescents in Arizona. It was expected that the SSO scale would: (a) exhibit acceptable internal consistency estimates; (b) be unrelated to demographic variables (race, grade, sex, and socioeconomic status [SES]); and, (c) demonstrate acceptable evidence of construct, known-groups, and criterion-related validity.",,,
259,StevensA2017a,2017,180401,Do individuals higher in impulsivity drink more impulsively? A pilot study within a high risk sample of young adults.,,Pilot Projects|Surveys and Questionnaires,Impulsive Behavior|Underage Drinking,"The relation between “impulsivity,” intentions-to-drink, and alcohol consumption has remained understudied. As a part of a larger study, 77 participants (60.5% female, 76.3% White, M age = 20.8) completed 10 days of daily diary reports regarding their intention to use alcohol and alcohol consumption. Hier- archical linear modeling (HLM) was used to estimate within-person relations between intentions-to-drink and subsequent alcohol use.",,,
260,SheeranP2017a,2017,,,,Biomedical Research|Research Design,Health Behavior|Public Health,,,,
261,ScribnerR2017a,2017,211302,Mid-South Transdisciplinary Collaborative Center - SDH Core,TCC,Community-Based Participatory Research|Research Design,Social Determinants of Health,"The purpose of the current study is to describe an approach to explaining health disparities in terms of social determinants in the context of a transdisciplinary center grant of the Mid-South Transdisciplinary Collab- orative Center (TCC). Specifically, this paper discusses one component of the Social Determinants of Health (SDH) Core of the Mid-South TCC that consulted with new and ongoing center grant projects to assess the potential for incorporating SDH into their ongoing analyses.",NIMHD NIH HHS,U54 MD008176,RFA-MD-12-007
262,SandersonS2017a,2017,10101|10903,Electronic Medical Records and Genomics (eMERGE) Network,eMERGE,Biomedical Research|Electronic Health Records|Genomics,,Social determinants of health,"NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NCATS NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS,NHGRI NIH HHS","U01 HG006385,U01 HG006375,U01 HG008657,U01 HG006382,UL1 TR001422,U01 HG007278,U01 HG006380,U01 HG008666,U01 HG008673,U01 HG006379,U01 HG006388,U01 HG006378,U01 HG008701,U01 HG006830","RFA-HG-10-010/PA-12-100,RFA-HG-10-009,RFA-HG-19-014/PA-18-591/RFA-HG-14-025,RFA-HG-10-009,PAR-18-464/RFA-TR-14-009,RFA-HG-12-006/PA-14-077,RFA-HG-10-009,RFA-HG-10-009,RFA-HG-10-009/PA-12-100,PA-16-287/RFA-HG-14-025,RFA-HG-19-013/RFA-HG-10-009/PA-16-287/PA-18-591/RFA-HG-14-025,PA-16-287/RFA-HG-10-010/RFA-HG-14-026/PA-18-591,RFA-HG-11-022/PA-12-100"
263,PhillipsK2017a,2017,31302,Current drug users and women have higher rates of risky sexual behaviors,,Epidemiologic Studies|Cohort Studies|Surveys and Questionnaires,Drug Users|Sexual Behavior|Risk-Taking|HIV Infections,"We sought to assess sexual risk behavior and neighborhood- level indicators of social and drug disorder exposure in a cohort of non-drug users (NDU) and drug users (CDU). We analyzed data from 415 participants enrolled in a 12 month study of genetics and environment on drug use trajec- tories. Participants completed the HIV Risk-taking Behavior Scale, Addiction Severity Index, and PhenX Drug Use Survey. Neighbor- hood risk was determined using the Neighborhood Inventory for Environmental Typology (NIfETy).",NIDA-IRP  NIH,,
264,ModibboF2017a,2017,10101|70601|100502|101401,Randomized trial evaluating self-samplingfor HPV DNA based tests for cervical cancerscreening in Nigeria,,Clinical Trials as Topic,study shows that self-sampling significantly increased uptake of HPV DNA based test forcervical cancer screening in this population and the samples collected were adequate for HPV detection andgenotyping.,"We investigated whether self-collection of cervicovaginal samples for HPV DNA tests would be associated with increased uptake of screening compared with clinic based collection of samples. Furthermore, we compared the quality of samples collected by both approaches for use in HPV genotyping.","NIH,NHGRI","1D43CA153792, U54HG006947","NA,NA"
265,LevinM2017a,2017,,,,Electronic Health Records|Genomics,,,,,
266,KwokR2017a,2017,10101|10201|10301|10501|10602|10701|10801|10901|11001|20703|20704|20801|21501|21502|21601|21603|30101|30301|30701|30703|30902|51101|60201|60301|70301|71201|81401,The GuLF STUDY: A Prospective Study of Persons Involved in the Deepwater Horizon Oil Spill Response and Clean-Up ,GuLF,Prospective Studies,Disasters|Mental Health|Life Style,health effects of oil spill cleanup,"NIEHS NIH HHS,NIEHS NIH HHS","P30 ES010126,ZIA ES102945","PA-17-317/PA-18-591/RFA-ES-09-002/RFA-ES-20-006/RFA-ES-15-007/PA-18-770,NA"
267,DurandG2017a,2017,121002|121601,Negative attitudes towards psychopaths: The role of one''s own psychopathic traits,,Epidemiologic Studies,Personality disorders,To determine if individuals from the community with higher levels of pscychopathic traits are less likely to stigmatize an individual diagnozed with psychopathy.,"European, Canada",,
268,DouetV2017a,2017,,,,,,,,,
269,DixonL2017a,2017,,,,Evidence-Based Medicine,Schizophrenia,,,,
270,CoulonS2017a,2017,,,,,"Diabetes Mellitus, Type 1",,NIMHD NIH HHS,U54 MD008176,RFA-MD-12-007
271,ChenL2016a,2016,20201|20602|20702|21001|21301,Growing Up in Singapore Towards Healthy Outcomes,GUSTO,Nutrition Assessment|Prospective Studies|Surveys and Questionnaires,Healthy Diet|Body Mass Index,Relationship between maternal dietary patterns and offspring body composition,"Medical Research Council,Medical Research Council,Medical Research Council,Medical Research Council,British Heart Foundation","MC_U147574222,MC_U147574226,MC_UP_A620_1017,MC_UU_12011/4,RG/07/009/23120","NA,NA,NA,NA,NA"
272,BurleyD2017a,2017,121601,As Far as the Eye Can See: Relationship between Psychopathic Traits and Pupil Response to Affective Stimuli,,Biomedical Research|Clinical Trials as Topic,Antisocial Personality Disorder|Facial Expression|Pupil Disorders,To extend previous emotion and psychopathy research by exploring whether psychopathic traits in a commnity sample were aossicated with autonomic hyporesponsivity to emotionally arousing cues using pupillometry.,Wellcome Trust,,
273,BotM2017a,2017,120301,Netherlands Study of Depression and Anxiety & Twin Register,NESDA & NTR,Feasibility Studies|Follow-Up Studies|Registries|Reproducibility of Results|Self Report,"Depressive Disorder, Major",To test feasibility and determine sensitivity and specifiicty for measuring lifetime MDD with new questionnaire.,"BBMRI-NL (Dutch), Geestkracht program of the Netherlands Organization for Health Research and Development","NWO 184.021.007, Zon-Mw - grant number 10-000-1002","NA,NA"
274,TarletonE2017a,2017,30301|30804,Role of magnesium supplementation in the treatment of depression: A randomized clinical trial,,Surveys and Questionnaires,Depressive Disorder,To test whether supplementation with OTC magnesium chloride improves symptom sof depression,,,
275,StevensA2018a,2018,,,,Surveys and Questionnaires,Alcohol Drinking|Impulsive Behavior|Substance-Related Disorders,,,,
276,StantonK2017a,2017,,,,Surveys and Questionnaires,Bipolar Disorder|Mood Disorders|Personality Disorders,,,,
277,SangheraD2017a,2017,,,,Case-Control Studies|Cross-Sectional Studies,"Cardiovascular Diseases|Diabetes Mellitus, Type 2|Metabolic Syndrome|Obesity|Vitamin D Deficiency",,"NIDDK NIH HHS,NIDDK NIH HHS,NIGMS NIH HHS","R01 DK082766,R21 DK105913,U54 GM104938","PA-07-070,RFA-DK-14-006,PA-20-135/PAR-17-304/PAR-11-229"
278,ConwayK2017a,2017,,,,Longitudinal Studies|Population Surveillance|Self Report,Mental Disorders|Mental Health|Substance-Related Disorders|Tobacco Use Disorder,,"NIDA NIH HHS,NCI NIH HHS","HHSN271201100027C,P30 CA023108","NA,PA-20-272/PAR-13-386/PAR-17-095"
280,BennettA2017a,2017,,,,,Opioid-Related Disorders|Risk-Taking,,"NIDA NIH HHS,NIDA NIH HHS","L30 DA042457,R01 DA036754","NA,PA-13-302/PA-14-077"
281,WrightF2017a,2017,,,,Genetic Association Studies|Genomics,,,"NINR NIH HHS,NINR NIH HHS,NCATS NIH HHS","T32 NR008346,T32 NR013456,UL1 TR001863","PA-16-287/PA-06-468/PA-11-184,PA-16-152/PA-11-184,PAR-15-304/PA-16-328/PA-16-288"
282,StuartE2017a,2017,,,,Program Evaluation|Randomized Controlled Trials as Topic|Reproducibility of Results,,,NICHD NIH HHS,R01 HD046064,PA-19-056
283,PetersE2017a,2017,,,,Population Surveillance|Prospective Studies|Research Design,Child Health|Mental Health|Women''s Health,,NIEHS NIH HHS,U01 ES021497,RFA-ES-11-006
284,McHughR2017a,2017,,,,Research Design,"Anxiety Disorders|Opioid-Related Disorders|Stress, Psychological",,NIDA NIH HHS,K23 DA035297,PA-17-078/PA-11-194
285,McCollisterK2017a,2017,,,,Cost-Benefit Analysis,Communicable Diseases|Substance-Related Disorders,,"NIDA NIH HHS,NIDA NIH HHS","P30 DA040500,R01 DA035808","PAR-18-225/PA-16-287/PA-18-591/PAR-14-186,PA-12-127"
286,ManraiA2017a,2017,,,,Biomedical Research|Computational Biology,Public Health,,"NIEHS NIH HHS,NIEHS NIH HHS,NIEHS NIH HHS,NIEHS NIH HHS,NHGRI NIH HHS,NIEHS NIH HHS,NCI NIH HHS,NIEHS NIH HHS,NCI NIH HHS,NHGRI NIH HHS,NIEHS NIH HHS","P30 ES007048,R01 ES019876,R00 ES023504,R01 ES019604,U54 HG007963,R21 ES025052,P30 CA014089,K99 ES023504,P01 CA196569,F31 HG008588,R01 ES014065","RFA-ES-10-001/RFA-ES-15-007/PA-18-770/PA-17-317/PA-18-591,PA-07-070,PA-11-197,PA-10-067,RFA-HG-13-009,PAR-13-382,PAR-13-386,PA-11-197,PAR-15-023,PA-14-147,PA-10-067/PA-16-160/PAR-03-106"
287,MaJ2017a,2017,20702|21301|21601,Research Aimed at Improving Both Mood and Weight,RAINBOW,Patient Health Questionnaire,Behavior|Depression|Obesity,To characterize profiles of obese depressed particpants using baeline data collected from an ongoing randomized controlled trial.,NHLBI NIH HHS,R01 HL119453,PA-12-024
288,HserY2017a,2017,210402|221302,Achieving Cannabis Cessation: Evaluating N-Acetylcysteine Treatment,ACCENT,"Longitudinal Studies|Outcome Assessment, Health Care",Depression|Marijuana Abuse|Marijuana Use,"Examine the longitudinal association between reductions in cannabis use and changes in anxiety, depression, sleep quality, and quality of life.","NIDA NIH HHS,NIDA NIH HHS,NCI NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIDA NIH HHS,NIAAA NIH HHS","R33 DA042280,R21 DA042280,P30 CA138313,UG1 DA013727,UG1 DA013035,P30 DA016383,K01 DA036739,T32 AA007474","PA-15-099,PA-15-099,PAR-12-298/PAR-17-095,PA-16-287/RFA-DA-20-024/RFA-DA-15-008/PA-18-591,PA-16-287/RFA-DA-20-024/RFA-DA-15-008/PA-18-591/PA-16-288,PAR-08-073,PA-11-190,PA-06-468/PA-16-152/PA-11-184"
289,GolembiewskiE2017a,2017,201501,Social Network Decay as Potential Recovery from Homelessness: A Mixed Methods Study in Housing First Programming. Soc Sci (Basel).,,Follow-Up Studies,Homeless Persons,To describe and understand the impact Housing First has on residents'' individual social integration.,"NCATS NIH HHS,NCATS NIH HHS,NCATS NIH HHS","KL2 TR001106,UL1 TR000006,UL1 TR001108","RFA-TR-12-006,RFA-RM-07-007,RFA-TR-12-006/PA-14-077"
290,ForrayA2017a,2017,30601|30701|30801|30901|30902|101101|211301|211302|221001|530601,"Progesterone for smoking relapse prevention following delivery: A pilot, randomized, double-blind study.",,Pilot Projects,Recurrence|Smoking|Smoking Cessation|Tobacco Smoking,Tested the feasibility and preliminary efficacy of postpartum progesterone replacement in preventing relapse to smoking in postpartum women with a history of pre-pregnancy smoking.,"NIDA NIH HHS,NCATS NIH HHS","R21 DA035924,UL1 TR001863","PA-11-048,PAR-15-304/PA-16-328/PA-16-288"
291,ChartierK2017a,2017,,,,Genetic Research,Alcohol-Related Disorders,,"NIAAA NIH HHS,NIAAA NIH HHS,NIAAA NIH HHS","K01 AA021145,P60 AA003510,U10 AA008401","PA-11-190,RFA-AA-12-003/RFA-AA-07-003,RFA-AA-09-005/RFA-AA-14-001/PA-14-077/PA-18-591/RFA-AA-19-001"
292,ArisI2017a,2017,20602|20702|21301|510801,Growing Up in Singapore Towards Healthy Outcomes,GUSTO,Prospective Studies,Hypertension|Pediatric Obesity|Prehypertension,"Associations between timing of height, BMI and adiposity gains in early life with BP at 48 months in an Asian pregnancy-birth cohort.","Medical Research Council,Medical Research Council,Medical Research Council,Arthritis Research UK,Department of Health,Medical Research Council,Medical Research Council,British Heart Foundation,Medical Research Council,Medical Research Council","MC_UU_12011/1,MC_UP_A620_1014,MC_U147585827,17702,SOUDIBRU-2008-1,MC_UU_12011/4,MC_U147585824,RG/07/009/23120,G0400491,MC_U147585819","NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
293,WeaverS2018a,2018,510101,,,Reproducibility of Results|Surveys and Questionnaires,"Smoking, Non-Tobacco Products|Vaping","The development and validation of survey measures for electronic nicotine and non-nicotine delivery system(ENDS) use has not kept pace with the burgeoning research on them. This, along with the diverse and evolvingnature of ENDS, presents several unique measurement challenges and hampers surveillance and tobacco regulatoryresearch efforts. In this commentary, we identify four important areas related to ENDS use (describingENDS products; defining current use; evaluating frequency and quantity of use; and characterizing devices and eliquids)and summarize a selective review of the measurement and definitions of these constructs across prominentnational tobacco use surveys and 30 projects within the 14 federally-funded Tobacco Centers ofRegulatory Science.","NHLBI NIH HHS,NCI NIH HHS,NIDA NIH HHS,NCI NIH HHS,NCI NIH HHS,NHLBI NIH HHS,NCI NIH HHS,NCI NIH HHS,NCI NIH HHS,NCI NIH HHS","P50 HL120163,U54 CA189222,P50 DA036128,P50 CA180905,P50 CA180907,U54 HL120163,P50 CA180906,P50 CA180523,P50 CA179546,U54 CA180905","PA-15-183/RFA-DA-13-003,RFA-OD-13-117,RFA-DA-13-003,RFA-DA-13-003/PA-14-320,RFA-DA-13-003/PA-14-320,RFA-OD-17-006,RFA-DA-13-003,RFA-DA-13-003,RFA-DA-13-003,RFA-OD-17-006/PA-18-906"
294,PatelC2017a,2017,,,,,review paper on Opportunities and Challenges for Environmental Exposure Assessment in Population-Based Studies,,"NIH HHS,NIEHS NIH HHS,NCI NIH HHS,NCI NIH HHS,NCBDD CDC HHS,NIEHS NIH HHS,Autism Speaks,NIEHS NIH HHS,NCI NIH HHS,NIEHS NIH HHS,NIEHS NIH HHS,NIH HHS,NCI NIH HHS,NCBDD CDC HHS,NIGMS NIH HHS,NCI NIH HHS,NIGMS NIH HHS,NIEHS NIH HHS,NIEHS NIH HHS,NIAID NIH HHS,NCI NIH HHS,NIA NIH HHS,NIEHS NIH HHS,NIEHS NIH HHS,NCI NIH HHS,NIEHS NIH HHS,NCI NIH HHS,NCBDD CDC HHS,NCI NIH HHS,NIEHS NIH HHS,NCI NIH HHS,NIEHS NIH HHS","U24 OD023382,P30 ES007048,R01 CA186566,U19 CA203654,U01 DD000746,R00 ES023504,AS7659,R21 ES025052,R01 CA095586,P30 ES013508,R01 ES015211,UG3 OD023275,P01 CA196569,U10 DD000183,P20 GM104416,U19 CA148127,P20 GM103534,U2C ES026555,R01 ES025216,R01 AI127250,P30 CA023108,R01 AG042187,P20 ES018175,P42 ES023720,R21 CA191651,P01 ES022832,P30 CA016520,U01 DD001214,U01 CA196386,R01 ES025531,R01 CA091016,R21 ES025573","RFA-OD-16-005,PA-17-317/PA-18-591/RFA-ES-20-006/PA-21-071/RFA-ES-15-007/RFA-ES-10-001/PA-18-770,PA-13-302/PA-16-288,PA-18-748/PAR-15-023/PA-18-842,RFA-DD-11-002,PA-11-197,NA,PAR-13-382,NA,PA-20-272/RFA-ES-18-003/RFA-ES-13-012/RFA-ES-09-002/PA-18-770,RFA-ES-05-007,RFA-OD-16-004,PAR-20-077/PAR-15-023,RFA-DD-06-003,PA-20-272/PA-18-591/PAR-16-241/PAR-11-286,RFA-CA-09-002,PAR-09-079,PA-20-272/PA-16-046/RFA-ES-15-009/PA-18-783/RFA-ES-18-014/PA-17-308,PA-13-302,PA-15-273,PA-20-272/PAR-13-386/PAR-17-095,RFA-ES-10-002,RFA-ES-08-004,RFA-ES-13-001,PAR-13-146,PA-15-123/RFA-ES-12-001,PA-20-272/PAR-13-386/PAR-20-043,RFA-DD-16-001,RFA-CA-14-011,PAR-14-203,NA,PAR-14-202"
295,O'DonnellK2017a,2017,,,,,Child Behavior Disorders|Prenatal Exposure Delayed Effects,,,,
296,KathuriaH2017a,2017,,,,Biomedical Research|Mass Screening,Lung Neoplasms|Smoking Cessation|Tobacco Use Disorder,,"Intramural CDC HHS,HSRD VA","CC999999,I21 HX001642","NA,HX-14-015"
297,HallM2017a,2017,20304|30201|30401|31301|60701|121601,Marshfield Personalized Medicine Research Project,PMRP,Computational Biology|Genome-Wide Association Study|Genomics|Surveys and Questionnaires,"Alcohol Drinking|Diabetes Mellitus, Type 2|Recurrence",Apply each feature of PLATO to type 2 diabetes and demonstrate how PLATO can be used to uncover the complex etiology of common traits.,"NHGRI NIH HHS,NCATS NIH HHS,NHLBI NIH HHS,NLM NIH HHS,NHLBI NIH HHS,NHGRI NIH HHS,NIEHS NIH HHS,NLM NIH HHS,NIAID NIH HHS,NHGRI NIH HHS,NLM NIH HHS,NLM NIH HHS","U01 HG006385,UL1 TR000427,U19 HL065962,T32 LM012415,U01 HL065962,U01 HG006389,P30 ES013508,R01 LM010098,R01 AI116794,F31 HG008588,R01 LM009012,R01 LM010040","RFA-HG-10-010/PA-12-100,RFA-RM-10-020,RFA-GM-10-001,RFA-HG-14-004,RFA-GM-04-002,RFA-HG-10-009,RFA-ES-13-012/RFA-ES-18-003/RFA-ES-09-002/PA-18-770,PAR-08-080/PA-14-078/PA-18-484/PA-11-260,PA-13-302,PA-14-147,PAR-08-080/PA-14-078/PA-04-141,PA-07-070"
298,DottererH2017a,2017,121601|740101,Michigan Longitudinal Study,MLS,"Models, Psychological|Personality Inventory",Antisocial Personality Disorder,Identify consistent development precursors and concurrent correlates of boldness.,"NCATS NIH HHS,NIMH NIH HHS,NIAAA NIH HHS,NIAAA NIH HHS,NIAAA NIH HHS,National Institute on Alcohol Abuse and Alcoholism,NCATS NIH HHS,Michigan Institute for Clinical & Health Research","UL1 TR000433,R37 MH059105,R37 AA007065,T32 AA007477,R01 AA007065,NA,UL1 TR002240,NA","RFA-RM-10-020,PA-18-591/PA-11-260,NA,PA-00-103/PA-06-468/PA-18-403/PA-92-31/PA-14-015,PA-11-260,NA,PA-20-272/PA-18-591/PAR-15-304,NA"
299,ChenA2017a,2017,,,,Cross-Sectional Studies|Surveys and Questionnaires,"Behavior, Addictive|Smoking|Tobacco Smoking|Tobacco Use Disorder",,"NIDA NIH HHS,NCATS NIH HHS,NCATS NIH HHS,NIDA NIH HHS","R01 DA026815,UL1 TR000127,UL1 TR002014,P50 DA036107","PA-10-067,RFA-RM-10-001,PAR-15-304,RFA-DA-13-003/PA-18-591"
300,BlanchA2017a,2017,,,,Computational Biology,,,,,
303,AvinunR2018a,2018,510402,,,Genetic Association Studies,Mental Disorders,,"NIA NIH HHS,NIDA NIH HHS,NIDA NIH HHS","R01 AG049789,R01 DA031579,R01 DA033369","PA-13-302,RFA-RM-10-002,PA-10-268"
304,AndersonA2017a,2017,50301|50501,,,Prospective Studies|Registries,Inflammatory Bowel Disease (IBD),Examine the differences between fiber and fat as it relates to IBD severity.,,,
305,JuanJ2017a,2017,10101|11601|30301|30604|40301|130301|140501,Fangshan Family-based Ischemic Stroke Study,FISSIC,Case-Control Studies,Brain Ischemia|Stroke,"Analyzed the main effects of PON1, as well as the interactions between PON1 and dietary vegetable or fruit intake…",,,
306,GrimaldiK2017a,2017,,,,,Health,,,,
307,AdebamowoS2017a,2017,,,,Cohort Studies|Genomics|Longitudinal Studies,Papillomavirus Infections|Uterine Cervical Neoplasms,,"FIC NIH HHS,NHGRI NIH HHS","R25 TW010514,U54 HG006947",RFA-RM-12-006
